Task,Classification
Automatically run nightly regression test suites,Automatable
Generate build deployment scripts,Augmentable
Monitor application uptime and trigger alerts,Automatable
Perform automated code linting,Automatable
Execute vulnerability scans on repos,Automatable
Patch known software dependencies,Automatable
Auto‑generate API documentation from code,Automatable
Perform synthetic test data generation,Automatable
Schedule server scaling based on load,Augmentable
Log error aggregation and categorisation,Automatable
Generate weekly KPI dashboards,Automatable
Refresh business intelligence datasets,Automatable
Auto‑format financial reports,Automatable
Produce usage analytics summaries,Automatable
Tag data sets with metadata,Automatable
Validate incoming data quality,Automatable
Reconcile transactional records,Automatable
Flag data anomalies,Automatable
Archive historical datasets,Automatable
Perform ETL job execution,Automatable
Generate standard customer invoices,Automatable
Match purchase orders to invoices,Automatable
Process expense claims against policy,Automatable
Perform VAT calculations,Automatable
Generate standard contract templates,Automatable
Apply pricing rules to quotations,Automatable
Process supplier onboarding forms,Automatable
Automate billing reminders,Automatable
Categorise operating expenses,Automatable
Validate budget submission arithmetic,Automatable
Schedule onboarding checklists,Automatable
Generate employment contracts,Automatable
Process payroll calculations,Automatable
Administer benefits enrolment,Automatable
Track attendance records,Automatable
Issue policy acknowledgement reminders,Automatable
Store personnel records,Automatable
Validate right‑to‑work documents,Automatable
Generate holiday balance statements,Automatable
Maintain organisation charts,Automatable
Auto‑assign IT tickets by category,Automatable
Reset user passwords,Automatable
Provision standard user accounts,Automatable
Decommission leavers’ system access,Automatable
Apply device compliance policies,Automatable
Run endpoint health checks,Automatable
Deploy software updates,Augmentable
Monitor licence utilisation,Automatable
Auto‑respond to common IT queries,Automatable
Enforce data retention rules,Automatable
Issue standard RFQs,Automatable
Compare supplier price lists,Automatable
Track delivery status,Automatable
Update inventory records,Automatable
Generate reorder alerts,Automatable
Validate supplier certificates,Automatable
Match shipping notices,Automatable
Process goods‑received notes,Automatable
Track contract expiry dates,Automatable
Generate supplier scorecards,Automatable
Run compliance control checks,Automatable
Generate audit evidence packs,Automatable
Log access activity,Automatable
Validate policy compliance metrics,Automatable
Monitor regulatory reporting deadlines,Automatable
Produce risk register updates,Automatable
Check segregation‑of‑duties rules,Automatable
Archive compliance submissions,Automatable
Apply data anonymisation rules,Automatable
Track corrective actions,Automatable
Schedule social media posts,Automatable
Publish website updates,Automatable
Optimise SEO tags,Automatable
Generate email campaign variants,Automatable
A/B test landing pages,Automatable
Track campaign performance,Automatable
Update CRM contact fields,Automatable
Clean mailing lists,Automatable
Trigger lead nurturing workflows,Automatable
Localise standard content,Automatable
Update project status dashboards,Automatable
Track milestone completion,Automatable
Log timesheet data,Automatable
Generate Gantt chart updates,Automatable
Recalculate critical paths,Automatable
Send project reminders,Automatable
Produce progress reports,Automatable
Archive project artefacts,Automatable
Track dependency changes,Automatable
Maintain RAID logs,Automatable
Perform document version control,Automatable
Convert file formats,Automatable
OCR scanned documents,Automatable
Translate standard documents,Automatable
Auto‑summarise meeting transcripts,Automatable
Route approval workflows,Automatable
Enforce naming conventions,Automatable
Monitor storage usage,Automatable
Perform system backups,Automatable
Restore test environments,Automatable
Designing application architectures,Augmentable
Reviewing pull requests,Augmentable
Optimising algorithms,Augmentable
Debugging complex system issues,Human-Critical
Planning technical roadmaps,Human-Critical
Refactoring legacy systems,Augmentable
Assessing technical debt,Augmentable
Defining coding standards,Augmentable
Evaluating new tech stacks,Augmentable
Estimating development effort,Augmentable
Interpreting business trends,Augmentable
Designing data models,Augmentable
Selecting KPIs,Augmentable
Creating predictive models,Augmentable
Interpreting anomaly causes,Augmentable
Validating analytical assumptions,Augmentable
Building simulation scenarios,Augmentable
Designing dashboards,Augmentable
Translating insights to business actions,Augmentable
Performing root‑cause analysis,Augmentable
Developing pricing strategies,Augmentable
Evaluating customer profitability,Augmentable
Designing product bundles,Augmentable
Analysing market demand,Augmentable
Forecasting sales performance,Augmentable
Evaluating M&A opportunities,Augmentable
Reviewing commercial risk,Augmentable
Preparing investment cases,Augmentable
Assessing contract value,Augmentable
Supporting bid proposals,Augmentable
Preparing annual budgets,Augmentable
Forecasting cash flow,Augmentable
Analysing cost drivers,Augmentable
Supporting capital allocation decisions,Augmentable
Financial scenario modelling,Augmentable
Interpreting financial variances,Augmentable
Reviewing tax strategy implications,Augmentable
Assessing financial controls,Augmentable
Preparing board finance materials,Augmentable
Supporting external audits,Augmentable
Screening candidate CVs,Augmentable
Designing role profiles,Augmentable
Conducting workforce planning,Augmentable
Analysing attrition trends,Augmentable
Designing learning programmes,Augmentable
Supporting performance reviews,Augmentable
Interpreting engagement surveys,Augmentable
Planning succession pipelines,Augmentable
Supporting diversity initiatives,Augmentable
Designing reward frameworks,Augmentable
Mapping business processes,Augmentable
Identifying automation opportunities,Augmentable
Conducting process benchmarking,Augmentable
Designing operating models,Augmentable
Measuring process efficiency,Augmentable
Running continuous improvement initiatives,Augmentable
Supporting lean transformations,Augmentable
Designing service catalogues,Augmentable
Analysing bottlenecks,Augmentable
Supporting change initiatives,Augmentable
Interpreting regulatory requirements,Augmentable
Performing risk assessments,Augmentable
Designing internal controls,Augmentable
Reviewing audit findings,Augmentable
Assessing cyber risk exposure,Augmentable
Evaluating data privacy impact,Augmentable
Supporting compliance training,Augmentable
Prioritising remediation actions,Augmentable
Investigating incidents,Augmentable
Supporting regulator engagement,Augmentable
Developing brand strategy,Augmentable
Interpreting customer research,Augmentable
Designing customer journeys,Augmentable
Segmenting customer bases,Augmentable
Planning campaigns,Augmentable
Analysing competitor activity,Augmentable
Supporting account‑based marketing,Augmentable
Improving customer retention,Augmentable
Crafting value propositions,Augmentable
Supporting product launches,Augmentable
Designing transformation roadmaps,Augmentable
Managing interdependent programmes,Augmentable
Stakeholder impact analysis,Augmentable
Tracking benefit realisation,Augmentable
Supporting governance forums,Augmentable
Facilitating workshops,Augmentable
Managing risks and issues,Augmentable
Planning change communications,Augmentable
Supporting adoption measurement,Augmentable
Evaluating delivery performance,Augmentable
Drafting bespoke contract clauses,Augmentable
Reviewing contract risk,Augmentable
Negotiation preparation,Human-Critical
Interpreting legal advice,Augmentable
Supporting dispute resolution,Augmentable
Managing IP considerations,Augmentable
Reviewing regulatory changes,Augmentable
Supporting litigation strategy,Augmentable
Managing contractual variations,Augmentable
Advising commercial teams,Augmentable
Setting company vision and strategy,Human-Critical
Making final investment decisions,Human-Critical
Establishing company values,Human-Critical
Leading cultural transformation,Human-Critical
Taking corporate accountability,Human-Critical
Managing executive succession,Human-Critical
Representing company publicly,Human-Critical
Balancing stakeholder priorities,Human-Critical
Approving enterprise risk appetite,Human-Critical
Crisis leadership,Human-Critical
Conducting sensitive employee relations cases,Human-Critical
